新闻,#genre#
凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8
CCTV13,http://39.134.66.4/PLTV/88888888/224/3221225812/index.m3u8
央卫视,#genre#
CCTV1[1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225816/index.m3u8
CCTV3[1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225799/index.m3u8
CCTV8[1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225795/index.m3u8
CCTV9[1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225676/index.m3u8
CCTV10[1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225677/index.m3u8
CCTV11[1280*720],http://39.134.66.4/PLTV/88888888/224/3221225517/index.m3u8
CCTV12[1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225669/index.m3u8
CCTV15[1280*720],http://39.134.66.4/PLTV/88888888/224/3221225513/index.m3u8
CCTV16[1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225893/index.m3u8
CCTV17[1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225708/index.m3u8
江苏卫视[1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225503/index.m3u8
湖南卫视[1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225506/index.m3u8
浙江卫视[1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225514/index.m3u8
黑龙江卫视[1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225847/index.m3u8
湖南卫视[1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225890/index.m3u8
东方卫视[1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225942/index.m3u8
安徽卫视[1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225851/index.m3u8
东南卫视[1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225863/index.m3u8
黑龙江少儿[1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225870/index.m3u8
湖南卫视,http://117.148.179.172/PLTV/88888888/224/3221231729/index.m3u8
湖南卫视,http://117.148.179.135/PLTV/88888888/224/3221230206/index.m3u8
湖南卫视,http://117.148.179.148/PLTV/88888888/224/3221230824/index.m3u8
江苏卫视,http://117.148.179.175/PLTV/88888888/224/3221231447/index.m3u8
浙江卫视,http://117.148.179.140/PLTV/88888888/224/3221229352/index.m3u8
东方卫视,http://117.148.179.160/PLTV/88888888/224/3221231738/index.m3u8
东方卫视,http://117.148.179.167/PLTV/88888888/224/3221231450/index.m3u8
广东卫视,http://117.148.179.141/PLTV/88888888/224/3221231891/index.m3u8
广东卫视,http://117.148.179.159/PLTV/88888888/224/3221231502/index.m3u8
